FK_ID_FORMULARIO	ID_VIVIENDA	CIUDAD	P70	P4000	P4020	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	CLASE	DOMINIO	FEX_C
386	1	VILLAVICENCIO	1	1	2	1	3	1	1	1	3	1	1	1	264.86975999
387	1	VILLAVICENCIO	1	1	2	1	3	1	1	1	3	1	1	1	308.89792358
388	1	VILLAVICENCIO	1	1	4	1	1	2	1	1	2	1	1	1	158.72915849
389	1	VILLAVICENCIO	1	1	2	1	2	1	1	1	2	1	1	1	270.96967217
390	1	VILLAVICENCIO	1	2	4	1	1	1	1	1	3	1	1	1	346.82617499
393	1	VILLAVICENCIO	1	2	2	1	2	1	1	1	3	1	1	1	251.40783558
394	1	VILLAVICENCIO	1	1	2	1	3	1	1	1	3	1	1	1	167.28433888
395	1	VILLAVICENCIO	1	1	2	1	3	1	1	1	3	1	1	1	141.90785453
396	1	VILLAVICENCIO	1	1	2	1	3	1	1	1	3	1	1	1	252.69090828
397	1	VILLAVICENCIO	1	1	2	1	4	1	1	1	3	1	1	1	245.3079234
398	1	PASTO	1	1	2	1	1	2	2	1	3	1	1	1	127.52441249
399	1	PASTO	1	2	2	1	2	1	1	1	3	1	1	1	125.96157917
400	1	PASTO	1	1	2	2		2	1	1	3	1	1	1	160.92185655
401	1	PASTO	1	1	2	1	1	1	1	1	3	1	1	1	119.74501497
402	1	PASTO	1	2	2	1	2	2	1	1	3	1	1	1	86.752052312
403	1	PASTO	1	2	2	1	3	2	1	1	3	1	1	1	121.98861234
404	1	MANIZALES	1	1	2	1	2	1	1	1	2	1	1	1	171.56566761
405	1	MANIZALES	1	1	2	1	2	1	1	1	2	1	1	1	122.67382603
406	1	MANIZALES	1	1	2	1	1	1	1	1	2	1	1	1	166.52582913
407	1	MANIZALES	1	2	2	1	2	1	1	1	2	1	1	1	250.18408469
408	1	MANIZALES	1	1	2	1	3	1	1	1	2	1	1	1	131.24127604
409	1	FLORENCIA	1	1	2	1	2	1	2	1	3	1	1	1	54.637236181
